price,area,quan,phuong,latitude,longitude,may_lanh,tu_lanh,gio_tu_do,wc_rieng,ban_cong,co_bep,cho_de_xe,gan_sieu_thi,gan_quan_an,gan_truong_hoc
6300000,112,Quận Tân Bình,Phường 15,10.818348,106.63283,1,0,1,0,1,1,0,0,0,0
4500000,112,Quận Tân Bình,Phường 4,10.800957,106.657875,0,0,1,0,1,0,1,1,0,0
2300000,103,Quận 8,Phường 7,10.704697,106.62104,0,0,0,0,0,0,0,0,0,1
4500000,112,Quận Tân Bình,Phường 11,10.789584,106.65215,0,0,1,0,1,0,1,0,0,0
4200000,109,Quận Bình Thạnh,Phường 25,10.807515,106.71636,0,0,0,0,1,0,1,0,0,0
2500000,107,Quận 12,Phường Thạnh Xuân,10.889942,106.67497,1,0,1,0,0,0,1,0,0,0
3700000,109,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,1,0,1,0,0,0,0,1
2900000,113,Quận Tân Phú,Phường Phú Thạnh,10.77604,106.63359,1,0,1,0,1,1,1,0,0,1
3000000,113,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,0,1,0,1,1,1,0,0,1
4500000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
3500000,110,Quận Gò Vấp,Phường 12,10.837349,106.636284,0,0,1,0,1,0,0,0,0,0
3500000,112,Quận Tân Bình,Phường 13,10.804606,106.63871,1,1,1,0,0,1,1,0,0,0
2600000,105,Quận 10,Phường 12,10.779249,106.67452,0,0,0,0,0,0,0,0,0,0
3000000,113,Quận Tân Phú,Phường Tân Quý,10.789263,106.62116,1,0,1,0,1,1,1,0,0,1
3000000,110,Quận Gò Vấp,Phường 5,10.82634,106.692505,1,1,1,0,0,1,0,0,0,1
3800000,111,Quận Phú Nhuận,Phường 9,10.799616,106.67492,1,1,1,1,0,1,1,0,0,0
1500000,119,Thành phố Thủ Đức,Phường Tân Phú (Quận 9 cũ),10.855435,106.81193,0,0,0,0,0,0,0,0,0,0
4800000,110,Quận Gò Vấp,Phường 14,10.850746,106.64534,0,0,1,0,0,0,0,0,1,0
3300000,110,Quận Gò Vấp,Phường 12,10.832696,106.63855,1,0,1,0,0,1,0,0,0,0
4400000,110,Quận Gò Vấp,Phường 12,10.836361,106.6459,1,1,0,0,1,1,1,0,0,0
2000000,107,Quận 12,Phường Hiệp Thành,10.882503,106.63797,0,0,0,0,0,0,0,0,0,0
6500000,101,Quận 6,Phường 11,10.746743,106.62975,1,0,1,0,1,0,1,0,0,0
2900000,108,Quận Bình Tân,Phường Bình Trị Đông,10.776182,106.61098,0,0,1,0,0,1,0,0,0,0
3600000,105,Quận 10,Phường 15,10.7806425,106.66726,1,0,1,1,1,1,0,0,0,1
4000000,107,Quận 12,Phường An Phú Đông,10.859661,106.70577,0,0,0,0,0,0,0,0,0,0
3600000,110,Quận Gò Vấp,Phường 8,10.84255,106.65591,0,0,1,0,1,0,0,0,0,0
2600000,108,Quận Bình Tân,Phường An Lạc,10.723135,106.61112,1,0,1,0,0,0,1,0,0,0
5000000,112,Quận Tân Bình,Phường 9,10.774322,106.65241,0,0,1,0,1,0,0,0,0,0
3800000,112,Quận Tân Bình,Phường 13,10.801824,106.64747,0,0,1,1,1,1,0,0,0,0
4500000,119,Thành phố Thủ Đức,Phường Cát Lái (Quận 2 cũ),10.773141,106.77104,0,0,1,0,1,0,1,0,0,0
2500000,103,Quận 8,Phường 7,10.697517,106.60888,0,0,0,0,1,0,0,0,0,1
3500000,112,Quận Tân Bình,Phường 14,10.791047,106.6422,1,1,1,0,0,1,1,0,0,0
12000000,109,Quận Bình Thạnh,Phường 25,10.802469,106.71143,1,1,1,0,1,1,1,0,1,1
2500000,108,Quận Bình Tân,Phường An Lạc,10.725614,106.60499,0,0,1,0,0,0,1,0,0,0
3700000,109,Quận Bình Thạnh,Phường 26,10.80783,106.70933,1,0,1,0,1,1,1,0,1,1
5800000,111,Quận Phú Nhuận,Phường 9,10.799616,106.67492,1,1,1,0,0,1,1,0,0,0
1300000,119,Thành phố Thủ Đức,Phường Linh Đông (Quận Thủ Đức cũ),10.841434,106.74382,1,0,1,0,1,0,0,0,0,1
3900000,107,Quận 12,Phường An Phú Đông,10.831359,106.69259,1,0,1,0,0,1,1,0,0,0
8000000,98,Quận 3,Phường 14,10.786867,106.679726,1,0,0,1,1,0,0,0,0,0
4000000,102,Quận 7,Phường Bình Thuận,10.741705,106.72976,1,0,1,0,0,1,0,0,0,0
1300000,110,Quận Gò Vấp,Phường 15,10.844375,106.673294,1,0,0,0,0,0,0,0,0,0
3900000,102,Quận 7,Phường Bình Thuận,10.737616,106.73026,0,1,1,0,1,1,0,1,0,1
4500000,110,Quận Gò Vấp,Phường 6,10.839278,106.681305,0,0,1,0,0,1,0,1,0,0
4500000,110,Quận Gò Vấp,Phường 3,10.820384,106.67438,0,1,1,0,1,1,0,1,0,0
1800000,108,Quận Bình Tân,Phường Bình Trị Đông A,10.770875,106.58865,0,0,1,0,0,0,0,0,0,0
3500000,112,Quận Tân Bình,Phường 14,10.792667,106.64314,0,0,1,1,1,0,1,0,0,1
1800000,113,Quận Tân Phú,Phường Phú Trung,10.775896,106.64097,1,0,1,1,1,1,1,1,0,1
5000000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
3500000,112,Quận Tân Bình,Phường 2,10.813324,106.665085,1,0,1,0,1,0,1,0,0,0
2600000,113,Quận Tân Phú,Phường Phú Thạnh,10.784448,106.621445,0,0,0,0,1,0,1,0,0,0
2800000,119,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),10.818844,106.79659,1,0,0,0,0,1,0,0,0,0
5200000,109,Quận Bình Thạnh,Phường 5,10.815049,106.68783,1,1,1,0,1,1,0,0,0,0
3800000,110,Quận Gò Vấp,Phường 6,10.837534,106.6806,0,0,0,0,0,0,0,0,0,0
3100000,110,Quận Gò Vấp,Phường 8,10.842612,106.64269,0,0,1,1,1,1,0,1,0,1
3700000,103,Quận 8,Phường 5,10.734252,106.66085,0,0,1,0,1,0,0,0,0,0
3100000,119,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),10.843751,106.75777,1,0,1,0,1,0,0,0,0,0
5300000,110,Quận Gò Vấp,Phường 6,10.834637,106.68432,1,1,1,0,0,1,0,0,0,0
3000000,119,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),10.825091,106.71512,1,0,1,1,1,1,1,0,0,1
3600000,110,Quận Gò Vấp,Phường 6,10.834637,106.68432,0,0,0,0,0,0,0,0,0,0
4400000,110,Quận Gò Vấp,Phường 12,10.837349,106.636284,1,0,0,0,0,0,0,0,0,0
4400000,110,Quận Gò Vấp,Phường 12,10.837349,106.636284,1,0,0,0,0,0,0,0,0,0
5500000,112,Quận Tân Bình,Phường 14,10.792667,106.64314,0,0,0,0,1,1,1,0,0,1
3300000,110,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,1,0,0,1,0,1
4900000,110,Quận Gò Vấp,Phường 4,10.81807,106.68383,1,1,0,0,1,1,1,1,0,0
4500000,110,Quận Gò Vấp,Phường 5,10.823792,106.688774,1,0,1,0,1,1,0,0,0,0
5000000,111,Quận Phú Nhuận,Phường 8,10.797704,106.67444,0,0,1,1,1,1,0,0,0,0
4390000,111,Quận Phú Nhuận,Phường 2,10.797344,106.68735,1,1,0,0,1,1,0,0,1,0
3500000,111,Quận Phú Nhuận,Phường 9,10.809619,106.67783,1,0,1,0,1,0,0,0,0,0
3500000,111,Quận Phú Nhuận,Phường 10,10.792779,106.67033,1,0,0,0,0,0,1,0,0,0
3500000,113,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,1,1,0,1,1,1,0,1,0
2900000,112,Quận Tân Bình,Phường 13,10.799949,106.64451,0,0,1,0,1,0,0,1,0,0
7000000,98,Quận 3,Phường 13,10.786018,106.68107,0,0,1,0,1,0,1,1,1,0
3600000,110,Quận Gò Vấp,Phường 12,10.848225,106.648125,1,1,1,1,1,1,0,0,0,0
4800000,100,Quận 5,Phường 7,10.754745,106.67096,0,0,1,0,0,0,0,0,0,0
2800000,113,Quận Tân Phú,Phường Sơn Kỳ,10.807735,106.60751,0,0,1,0,1,0,0,0,0,0
6000000,100,Quận 5,Phường 2,10.759467,106.68395,0,0,1,0,1,0,0,0,0,0
3400000,113,Quận Tân Phú,Phường Tân Quý,10.799448,106.61939,0,0,0,0,1,0,0,0,0,0
6500000,100,Quận 5,Phường 5,10.750611,106.67121,0,0,0,0,0,0,0,0,0,0
3000000,107,Quận 12,Phường Thạnh Xuân,10.8834305,106.670395,1,0,0,0,1,1,1,0,0,0
2500000,110,Quận Gò Vấp,Phường 12,10.841923,106.64362,1,0,1,0,0,1,0,0,0,0
2600000,112,Quận Tân Bình,Phường 12,10.794591,106.65013,0,0,1,0,0,0,0,0,0,0
5000000,109,Quận Bình Thạnh,Phường 26,10.807631,106.71158,0,0,1,0,0,0,0,0,0,1
2800000,119,Thành phố Thủ Đức,Phường Thạnh Mỹ Lợi (Quận 2 cũ),10.773,106.7706,1,0,1,0,1,1,0,0,0,0
2200000,113,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,0,0,1,0,1,1,1,0,0,1
2100000,102,Quận 7,Phường Phú Mỹ,10.711582,106.73153,0,0,1,0,0,0,0,1,1,1
3000000,119,Thành phố Thủ Đức,Phường Long Trường (Quận 9 cũ),10.822844,106.80533,1,0,1,1,1,1,0,1,0,1
1200000,119,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),10.818844,106.79659,0,0,1,1,1,0,0,0,0,0
2800000,110,Quận Gò Vấp,Phường 3,10.820384,106.67438,0,0,1,0,1,0,0,1,0,1
6000000,110,Quận Gò Vấp,Phường 15,10.850086,106.67054,0,0,1,0,1,1,0,0,0,0
1400000,109,Quận Bình Thạnh,Phường 27,10.816065,106.71914,1,1,0,0,1,1,1,0,0,1
4000000,111,Quận Phú Nhuận,Phường 9,10.810502,106.67849,0,0,0,0,1,0,0,0,0,0
3800000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
3300000,111,Quận Phú Nhuận,Phường 4,10.808282,106.67847,1,1,1,0,0,1,1,0,0,0
4200000,110,Quận Gò Vấp,Phường 14,10.856016,106.65122,1,1,0,0,1,1,0,0,0,1
2500000,109,Quận Bình Thạnh,Phường 13,10.818509,106.698944,0,0,0,1,0,0,0,0,0,0
2300000,119,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),10.853436,106.83371,0,0,1,0,1,0,0,0,1,1
2000000,107,Quận 12,Phường Tân Chánh Hiệp,10.852403,106.6266,0,0,0,0,0,1,0,0,0,0
2000000,112,Quận Tân Bình,Phường 14,10.793693,106.642395,0,0,1,0,1,0,1,0,0,0
3500000,119,Thành phố Thủ Đức,Phường Phước Long B (Quận 9 cũ),10.834972,106.766556,1,1,1,1,0,1,1,0,0,1
5000000,102,Quận 7,Phường Tân Quy,10.738486,106.71468,0,0,1,0,1,0,0,1,0,1
1800000,110,Quận Gò Vấp,Phường 6,10.844895,106.6828,0,0,1,0,0,1,1,0,0,0
2500000,112,Quận Tân Bình,Phường 10,10.774889,106.647995,0,0,1,0,0,1,0,0,0,0
4900000,111,Quận Phú Nhuận,Phường 4,10.808282,106.67847,0,0,1,0,1,0,1,0,0,0
3800000,98,Quận 3,Phường 14,10.78832,106.67981,0,0,1,0,1,0,1,0,0,1
5700000,119,Thành phố Thủ Đức,Phường Phước Long B (Quận 9 cũ),10.807799,106.78538,1,1,1,1,0,1,0,0,0,0
3500000,110,Quận Gò Vấp,Phường 3,10.820384,106.67438,0,0,1,0,0,1,0,0,0,0
4000000,111,Quận Phú Nhuận,Phường 9,10.799616,106.67492,1,1,1,1,0,1,0,0,0,1
4000000,107,Quận 12,Phường An Phú Đông,10.831359,106.69259,1,0,0,0,0,1,0,0,0,0
3000000,119,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),10.840909,106.7634,1,0,0,0,1,1,0,0,0,0
2800000,103,Quận 8,Phường 7,10.710696,106.62515,1,0,1,1,1,1,0,0,0,1
5400000,110,Quận Gò Vấp,Phường 14,10.837349,106.636284,0,0,1,0,1,0,0,0,0,0
3200000,110,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,0,0,0,0,0,0
3000000,103,Quận 8,Phường 4,10.74274,106.677765,1,0,0,0,1,0,0,0,0,0
5400000,110,Quận Gò Vấp,Phường 8,10.842612,106.64269,1,0,1,0,0,1,0,1,0,1
3000000,110,Quận Gò Vấp,Phường 8,10.842244,106.65124,1,1,1,0,0,0,0,0,0,1
2500000,113,Quận Tân Phú,Phường Tân Thành,10.788127,106.63568,0,0,0,1,1,1,1,0,0,0
3300000,101,Quận 6,Phường 11,10.74148,106.633766,0,0,1,1,1,1,1,0,0,0
5000000,102,Quận 7,Phường Bình Thuận,10.743138,106.72601,0,0,0,0,0,0,0,0,0,0
4000000,109,Quận Bình Thạnh,Phường 25,10.810227,106.71722,0,0,0,0,1,0,1,0,0,0
1700000,107,Quận 12,Phường Trung Mỹ Tây,10.856544,106.614395,0,0,0,1,1,1,0,0,0,1
3800000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
3000000,112,Quận Tân Bình,Phường 2,10.812272,106.66626,1,0,1,0,1,0,1,0,0,0
4000000,110,Quận Gò Vấp,Phường 10,10.833726,106.66952,0,0,1,0,0,0,1,0,0,0
3700000,112,Quận Tân Bình,Phường 13,10.803694,106.63586,1,1,0,0,1,1,0,0,0,0
5900000,99,Quận 4,Phường 2,10.752993,106.69355,0,0,0,0,1,0,0,0,0,0
4500000,112,Quận Tân Bình,Phường 4,10.805005,106.66431,0,0,1,0,1,0,0,0,0,0
3500000,98,Quận 3,Phường 3,10.769345,106.67827,1,1,0,0,1,0,0,0,0,0
3000000,107,Quận 12,Phường Trung Mỹ Tây,10.853655,106.60974,1,1,0,0,1,1,0,0,0,1
3800000,119,Thành phố Thủ Đức,Phường Linh Chiểu (Quận Thủ Đức cũ),10.851083,106.757866,1,0,1,0,1,1,0,0,0,1
3000000,113,Quận Tân Phú,Phường Tây Thạnh,10.809365,106.61493,0,0,1,0,1,0,0,0,0,1
4200000,110,Quận Gò Vấp,Phường 12,10.836361,106.6459,0,0,1,0,0,0,0,0,0,0
6500000,98,Quận 3,Phường 14,10.790503,106.67774,0,0,0,0,0,0,0,0,0,0
3500000,110,Quận Gò Vấp,Phường 9,10.810502,106.67849,0,0,1,0,1,0,0,0,0,0
3600000,103,Quận 8,Phường 6,10.739306,106.6562,0,0,1,0,1,0,1,0,0,0
5500000,110,Quận Gò Vấp,Phường 14,10.850746,106.64534,1,1,1,0,1,1,0,1,0,1
3200000,119,Thành phố Thủ Đức,Phường Bình Thọ (Quận Thủ Đức cũ),10.848434,106.7663,1,0,1,0,1,0,1,1,1,0
